ID,Género,CLASE,EDAD,IDTC1T1,IDTC2T1,IDTC3T1,IDC1T2,IDC2T2,IDC3T2
228149,1,7135,20,"0,789","0,862","0,982","0,654","0,768","0,5"
228156,1,7135,19,"0,666","0,756","0,822",1,1,"0,5"
228169,1,7135,19,"0,741","0,911","0,917","0,964","0,982","0,873"
228256,1,7135,19,"0,688","0,962",1,1,1,"0,751"
228292,1,7135,20,"0,875","0,857","0,826","0,929","0,893","0,929"
228318,1,7135,20,"0,964","0,982",1,1,1,"0,896"
228327,1,7135,20,"0,739","0,911","0,982","0,982",1,"0,677"
228356,1,7135,19,"0,911","0,839","0,806","0,862","0,939","0,896"
229011,2,7135,20,"0,821",1,"0,982",1,1,"0,875"
230194,2,7135,9,"0,875","0,839","0,929","0,873","0,873","0,911"
230195,2,7135,8,"0,896","0,939","0,96","0,96","0,981","0,772"
280062,2,7135,10,"0,566","0,654","0,772","0,772","0,8","0,804"
280063,2,7135,70,"0,826","0,772","0,772","0,702","0,772","0,839"
280065,2,7135,9,"0,835","0,875","0,85","0,896","0,917","0,839"
280067,2,7135,53,"0,772","0,739","0,739","0,739","0,772","0,8"
280133,2,7135,9,"0,63","0,772","0,857","0,896","0,982","0,821"
